Date,AAPL,AGG,AMZN,DBC,GLD,GOOGL,IEF,JNJ,JNK,JPM,KO,LQD,MSFT,NVDA,PG,SPY,TLT,TSLA,UNG,USO,WMT,XOM,^GSPC,^TNX,^VIX
2022-10-03,139.96951293945312,85.83728790283203,115.87999725341797,21.274871826171875,158.42999267578125,97.8314208984375,86.41193389892578,147.2345428466797,70.3832778930664,98.72132110595703,51.04714584350586,89.8135986328125,233.92388916015625,12.495613098144531,117.46292114257812,349.8432312011719,90.95914459228516,242.39999389648438,89.83999633789062,67.88999938964844,42.34306716918945,81.70366668701172,3678.429931640625,3.6510000228881836,30.100000381469727
2022-10-04,143.55596923828125,86.06757354736328,121.08999633789062,21.849164962768555,160.6999969482422,100.80683898925781,86.5902099609375,149.41781616210938,71.89830017089844,103.33985137939453,51.16428756713867,90.22815704345703,241.8334503173828,13.14975643157959,118.91622924804688,360.68365478515625,90.70510864257812,249.44000244140625,93.95999908447266,70.27999877929688,42.892608642578125,84.68132019042969,3790.929931640625,3.617000102996826,29.06999969482422
2022-10-05,143.85073852539062,85.61583709716797,120.94999694824219,22.240726470947266,159.80999755859375,100.59854888916016,85.77013397216797,148.95770263671875,71.65110778808594,102.06394958496094,50.677696228027344,89.54588317871094,242.1443634033203,13.19170093536377,118.0936050415039,359.8439025878906,89.83782958984375,240.80999755859375,95.76000213623047,71.94000244140625,42.467674255371094,88.1034164428711,3783.280029296875,3.759000062942505,28.549999237060547
2022-10-06,142.8976287841797,85.27925872802734,120.30000305175781,22.379947662353516,159.6300048828125,100.58863830566406,85.29772186279297,146.07078552246094,71.41986846923828,99.98363494873047,49.58735656738281,89.338623046875,239.8026123046875,13.112804412841797,115.60743713378906,356.1318359375,89.3384780883789,238.1300048828125,95.36000061035156,72.98999786376953,42.07149887084961,90.71666717529297,3744.52001953125,3.8259999752044678,30.520000457763672
2022-10-07,137.65060424804688,84.8275146484375,114.55999755859375,22.614883422851562,157.8800048828125,97.87110900878906,84.87873840332031,144.52804565429688,70.62249755859375,97.9865493774414,49.118797302246094,88.44913482666016,227.60794067382812,12.060184478759766,113.5873794555664,346.1979064941406,88.47119903564453,223.07000732421875,91.76000213623047,75.0999984741211,41.07465362548828,89.8011245727539,3639.659912109375,3.882999897003174,31.360000610351562
2022-10-10,137.974853515625,84.4466552734375,113.66999816894531,22.362546920776367,155.47999572753906,97.05782318115234,84.37955474853516,144.71751403808594,69.72946166992188,97.07122802734375,49.01066207885742,87.65463256835938,222.75921630859375,11.654715538024902,113.12122344970703,343.5545959472656,87.09579467773438,222.9600067138672,89.80000305175781,73.77999877929688,41.31748580932617,87.85453796386719,3612.389892578125,3.888000011444092,32.45000076293945
2022-10-11,136.55992126464844,84.49978637695312,112.20999908447266,22.04059410095215,155.16000366210938,96.38339233398438,84.59349822998047,146.81053161621094,69.94473266601562,94.26976013183594,49.09176254272461,87.4732666015625,219.02796936035156,11.57082462310791,113.55083465576172,341.37884521484375,87.48126983642578,216.5,90.4800033569336,71.75,42.387794494628906,87.10791015625,3588.840087890625,3.938999891281128,33.630001068115234
2022-10-12,135.9311065673828,84.5706558227539,112.9000015258789,22.04059410095215,155.99000549316406,96.76028442382812,84.86981964111328,146.77447509765625,70.08030700683594,95.79531860351562,49.686485290527344,87.36964416503906,219.35833740234375,11.484939575195312,113.73365020751953,340.2527770996094,87.91056823730469,217.24000549316406,88.44000244140625,70.93000030517578,41.90855407714844,87.49011993408203,3577.030029296875,3.9019999504089355,33.56999969482422
2022-10-13,140.5001220703125,84.304931640625,112.52999877929688,22.345142364501953,154.91000366210938,98.24797821044922,84.51326751708984,148.99380493164062,70.2158432006836,101.12088012695312,50.34429168701172,87.52507019042969,227.60794067382812,11.944337844848633,115.45204162597656,349.2324523925781,87.06951904296875,221.72000122070312,92.16000366210938,72.5199966430664,42.26319885253906,90.54779815673828,3669.909912109375,3.9519999027252197,31.940000534057617
2022-10-14,135.97039794921875,83.84436798095703,106.9000015258789,21.9013729095459,152.97999572753906,95.76847839355469,84.04082489013672,148.37132263183594,69.96068572998047,102.8036117553711,49.54231262207031,86.68739318847656,222.08872985839844,11.212294578552246,114.3277816772461,341.27386474609375,86.35118865966797,204.99000549316406,89.44000244140625,70.16999816894531,41.672122955322266,88.1656494140625,3583.070068359375,4.010000228881836,32.02000045776367
2022-10-17,139.9302215576172,84.02149963378906,113.79000091552734,21.849164962768555,153.4199981689453,99.15052795410156,84.12996673583984,150.29293823242188,70.81385040283203,107.1213607788086,50.18208312988281,87.10192108154297,230.8048095703125,11.872430801391602,116.39349365234375,350.0436096191406,85.93069458007812,219.35000610351562,83.36000061035156,70.12999725341797,41.97245407104492,89.43671417236328,3677.949951171875,4.014999866485596,31.3700008392334
2022-10-18,141.24691772460938,84.1632308959961,116.36000061035156,21.614227294921875,153.75,99.94396209716797,84.34388732910156,149.76966857910156,71.31620788574219,109.87660217285156,50.857913970947266,87.6200942993164,231.747314453125,11.95132827758789,117.33495330810547,354.15643310546875,86.13217163085938,220.19000244140625,80.16000366210938,68.69999694824219,42.85747146606445,89.5967025756836,3719.97998046875,3.997999906539917,30.5
